#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
chebi:"CHEBI:548925"	uniprotkb:P13612	-	-	chembl:CHEMBL479345|unknown:"InChI=1S/C28H30BrN5O4/c29-22-23(28(24(22)35)10-2-1-3-11-28)32-20(27(36)37)15-17-6-8-18(9-7-17)34-25-19(5-4-12-31-25)33-26(34)21-16-38-14-13-30-21/h4-9,12,20-21,30,32H,1-3,10-11,13-16H2,(H,36,37)/t20-,21?/m0/s1"|unknown:RWWRKXWQTNULEA-BGERDNNASA-N|unknown:"OC(=O)[C@H](Cc1ccc(cc1)n2c(nc3cccnc23)C4COCCN4)NC5=C(Br)C(=O)C56CCCCC6"|unknown:chembl479345	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Phillips et al (2008)	pubmed:18539454	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL951561	chembl:medium(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:549930"	uniprotkb:P13612	-	-	chembl:CHEMBL471993|unknown:"InChI=1S/C29H27N5O3/c35-26-16-25(29(26)11-2-1-3-12-29)32-22(28(36)37)15-19-6-8-21(9-7-19)34-24-10-14-31-18-23(24)33-27(34)20-5-4-13-30-17-20/h4-10,13-14,16-18,22,32H,1-3,11-12,15H2,(H,36,37)/t22-/m0/s1"|unknown:OGUBKXNZYZZVED-QFIPXVFZSA-N|unknown:"OC(=O)[C@H](Cc1ccc(cc1)n2c(nc3cnccc23)c4cccnc4)NC5=CC(=O)C56CCCCC6"|unknown:chembl471993	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Phillips et al (2008)	pubmed:18539454	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL951561	chembl:medium(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:549929"	uniprotkb:P13612	-	-	chembl:CHEMBL471303|unknown:"InChI=1S/C26H22BrN5O3/c1-26(2)21(20(27)22(26)33)30-19(25(34)35)13-15-7-9-17(10-8-15)32-23(16-5-3-11-28-14-16)31-18-6-4-12-29-24(18)32/h3-12,14,19,30H,13H2,1-2H3,(H,34,35)/t19-/m0/s1"|unknown:UXELCDHPQCTKTR-IBGZPJMESA-N|unknown:"CC1(C)C(=C(Br)C1=O)N[C@@H](Cc2ccc(cc2)n3c(nc4cccnc34)c5cccnc5)C(=O)O"|unknown:chembl471303	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Phillips et al (2008)	pubmed:18539454	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL951561	chembl:medium(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:549996"	uniprotkb:P13612	-	-	chembl:CHEMBL487487|unknown:"InChI=1S/C29H26BrN5O3/c30-24-25(29(26(24)36)11-2-1-3-12-29)33-21(28(37)38)15-18-6-8-20(9-7-18)35-23-10-14-32-17-22(23)34-27(35)19-5-4-13-31-16-19/h4-10,13-14,16-17,21,33H,1-3,11-12,15H2,(H,37,38)/t21-/m0/s1"|unknown:AQFDERFJIWDDCF-NRFANRHFSA-N|unknown:"OC(=O)[C@H](Cc1ccc(cc1)n2c(nc3cnccc23)c4cccnc4)NC5=C(Br)C(=O)C56CCCCC6"|unknown:chembl487487	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Phillips et al (2008)	pubmed:18539454	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL951561	chembl:medium(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:549931"	uniprotkb:P13612	-	-	chembl:CHEMBL517238|unknown:"InChI=1S/C29H26ClN5O3/c30-24-25(29(26(24)36)11-2-1-3-12-29)33-21(28(37)38)15-18-6-8-20(9-7-18)35-23-10-14-32-17-22(23)34-27(35)19-5-4-13-31-16-19/h4-10,13-14,16-17,21,33H,1-3,11-12,15H2,(H,37,38)/t21-/m0/s1"|unknown:BGUIDBFPVBVYLX-NRFANRHFSA-N|unknown:"OC(=O)[C@H](Cc1ccc(cc1)n2c(nc3cnccc23)c4cccnc4)NC5=C(Cl)C(=O)C56CCCCC6"|unknown:chembl517238	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Phillips et al (2008)	pubmed:18539454	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL951561	chembl:medium(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:549025"	uniprotkb:P13612	-	-	chembl:CHEMBL519075|unknown:"InChI=1S/C29H32BrN5O3/c30-23-24(29(25(23)36)13-3-1-4-14-29)33-22(28(37)38)17-18-9-11-19(12-10-18)35-26-21(8-6-16-32-26)34-27(35)20-7-2-5-15-31-20/h6,8-12,16,20,22,31,33H,1-5,7,13-15,17H2,(H,37,38)/t20?,22-/m0/s1"|unknown:MONYNIRDTFXWKB-IAXKEJLGSA-N|unknown:"OC(=O)[C@H](Cc1ccc(cc1)n2c(nc3cccnc23)C4CCCCN4)NC5=C(Br)C(=O)C56CCCCC6"|unknown:chembl519075	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Phillips et al (2008)	pubmed:18539454	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL951561	chembl:medium(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:549024"	uniprotkb:P13612	-	-	chembl:CHEMBL487438|unknown:"InChI=1S/C28H26BrF3N4O3/c29-20-21(26(22(20)37)10-2-1-3-11-26)34-19(24(38)39)15-16-6-8-17(9-7-16)36-23-18(5-4-14-33-23)35-25(36)27(12-13-27)28(30,31)32/h4-9,14,19,34H,1-3,10-13,15H2,(H,38,39)/t19-/m0/s1"|unknown:JHBJKRQQEIQKHE-IBGZPJMESA-N|unknown:"OC(=O)[C@H](Cc1ccc(cc1)n2c(nc3cccnc23)C4(CC4)C(F)(F)F)NC5=C(Br)C(=O)C56CCCCC6"|unknown:chembl487438	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Phillips et al (2008)	pubmed:18539454	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL951561	chembl:medium(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:549928"	uniprotkb:P13612	-	-	chembl:CHEMBL471302|unknown:"InChI=1S/C26H22ClN5O3/c1-26(2)21(20(27)22(26)33)30-19(25(34)35)13-15-7-9-17(10-8-15)32-23(16-5-3-11-28-14-16)31-18-6-4-12-29-24(18)32/h3-12,14,19,30H,13H2,1-2H3,(H,34,35)/t19-/m0/s1"|unknown:CWGHGLXCBRDJKD-IBGZPJMESA-N|unknown:"CC1(C)C(=C(Cl)C1=O)N[C@@H](Cc2ccc(cc2)n3c(nc4cccnc34)c5cccnc5)C(=O)O"|unknown:chembl471302	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Phillips et al (2008)	pubmed:18539454	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL951561	chembl:medium(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:549026"	uniprotkb:P13612	-	-	chembl:CHEMBL487439|unknown:"InChI=1S/C29H32BrN5O3/c30-23-24(29(25(23)36)12-2-1-3-13-29)33-22(28(37)38)16-18-8-10-20(11-9-18)35-26(19-6-4-14-31-17-19)34-21-7-5-15-32-27(21)35/h5,7-11,15,19,22,31,33H,1-4,6,12-14,16-17H2,(H,37,38)/t19?,22-/m0/s1"|unknown:ZRZRMFPBYJFMQN-BPARTEKVSA-N|unknown:"OC(=O)[C@H](Cc1ccc(cc1)n2c(nc3cccnc23)C4CCCNC4)NC5=C(Br)C(=O)C56CCCCC6"|unknown:chembl487439	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Phillips et al (2008)	pubmed:18539454	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL951561	chembl:medium(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:548896"	uniprotkb:P13612	-	-	chembl:CHEMBL520105|unknown:"InChI=1S/C30H29N5O3S/c1-39-24-25(30(26(24)36)13-3-2-4-14-30)33-23(29(37)38)17-19-9-11-21(12-10-19)35-27(20-7-5-15-31-18-20)34-22-8-6-16-32-28(22)35/h5-12,15-16,18,23,33H,2-4,13-14,17H2,1H3,(H,37,38)/t23-/m0/s1"|unknown:VVZGYMGXVWZKDS-QHCPKHFHSA-N|unknown:"CSC1=C(N[C@@H](Cc2ccc(cc2)n3c(nc4cccnc34)c5cccnc5)C(=O)O)C6(CCCCC6)C1=O"|unknown:chembl520105	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Phillips et al (2008)	pubmed:18539454	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL951561	chembl:medium(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:548895"	uniprotkb:P13612	-	-	chembl:CHEMBL507508|unknown:"InChI=1S/C32H33N5O3S/c1-20(2)41-26-27(32(28(26)38)14-4-3-5-15-32)35-25(31(39)40)18-21-10-12-23(13-11-21)37-29(22-8-6-16-33-19-22)36-24-9-7-17-34-30(24)37/h6-13,16-17,19-20,25,35H,3-5,14-15,18H2,1-2H3,(H,39,40)/t25-/m0/s1"|unknown:UOQRUCISSASGLE-VWLOTQADSA-N|unknown:"CC(C)SC1=C(N[C@@H](Cc2ccc(cc2)n3c(nc4cccnc34)c5cccnc5)C(=O)O)C6(CCCCC6)C1=O"|unknown:chembl507508	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Phillips et al (2008)	pubmed:18539454	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL951561	chembl:medium(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:548916"	uniprotkb:P13612	-	-	chembl:CHEMBL469692|unknown:"InChI=1S/C27H27BrN4O3/c28-21-22(27(23(21)33)12-2-1-3-13-27)30-20(26(34)35)15-16-6-10-18(11-7-16)32-24(17-8-9-17)31-19-5-4-14-29-25(19)32/h4-7,10-11,14,17,20,30H,1-3,8-9,12-13,15H2,(H,34,35)/t20-/m0/s1"|unknown:RZTVQLZODGPXAG-FQEVSTJZSA-N|unknown:"OC(=O)[C@H](Cc1ccc(cc1)n2c(nc3cccnc23)C4CC4)NC5=C(Br)C(=O)C56CCCCC6"|unknown:chembl469692	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Phillips et al (2008)	pubmed:18539454	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL951561	chembl:medium(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:549001"	uniprotkb:P13612	-	-	chembl:CHEMBL488657|unknown:"InChI=1S/C25H25BrN4O3/c1-15-28-18-6-5-13-27-23(18)30(15)17-9-7-16(8-10-17)14-19(24(32)33)29-21-20(26)22(31)25(21)11-3-2-4-12-25/h5-10,13,19,29H,2-4,11-12,14H2,1H3,(H,32,33)/t19-/m0/s1"|unknown:QGBXCDHCSWUMCT-IBGZPJMESA-N|unknown:"Cc1nc2cccnc2n1c3ccc(C[C@H](NC4=C(Br)C(=O)C45CCCCC5)C(=O)O)cc3"|unknown:chembl488657	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Phillips et al (2008)	pubmed:18539454	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL951561	chembl:medium(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:549998"	uniprotkb:P13612	-	-	chembl:CHEMBL528541|unknown:"InChI=1S/C29H27N5O3/c35-25-17-24(29(25)12-2-1-3-13-29)32-23(28(36)37)16-19-8-10-21(11-9-19)34-26(20-6-4-14-30-18-20)33-22-7-5-15-31-27(22)34/h4-11,14-15,17-18,23,32H,1-3,12-13,16H2,(H,36,37)/t23-/m0/s1"|unknown:OIGUWMRWUNGANB-QHCPKHFHSA-N|unknown:"OC(=O)[C@H](Cc1ccc(cc1)n2c(nc3cccnc23)c4cccnc4)NC5=CC(=O)C56CCCCC6"|unknown:chembl528541	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Phillips et al (2008)	pubmed:18539454	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL951561	chembl:medium(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:549997"	uniprotkb:P13612	-	-	chembl:CHEMBL520727|unknown:"InChI=1S/C30H26BrFN4O3/c31-25-26(30(27(25)37)12-2-1-3-13-30)34-23(29(38)39)15-18-6-9-21(10-7-18)36-24-11-8-20(32)16-22(24)35-28(36)19-5-4-14-33-17-19/h4-11,14,16-17,23,34H,1-3,12-13,15H2,(H,38,39)/t23-/m0/s1"|unknown:RVGGGFXXABKQAH-QHCPKHFHSA-N|unknown:"OC(=O)[C@H](Cc1ccc(cc1)n2c(nc3cc(F)ccc23)c4cccnc4)NC5=C(Br)C(=O)C56CCCCC6"|unknown:chembl520727	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Phillips et al (2008)	pubmed:18539454	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL951561	chembl:medium(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:548894"	uniprotkb:P13612	-	-	chembl:CHEMBL481659|unknown:"InChI=1S/C29H26BrN5O3/c30-23-24(29(25(23)36)12-2-1-3-13-29)33-22(28(37)38)16-18-8-10-20(11-9-18)35-26(19-6-4-14-31-17-19)34-21-7-5-15-32-27(21)35/h4-11,14-15,17,22,33H,1-3,12-13,16H2,(H,37,38)/t22-/m0/s1"|unknown:WQKGOLGYPXZSSX-QFIPXVFZSA-N|unknown:"OC(=O)[C@H](Cc1ccc(cc1)n2c(nc3cccnc23)c4cccnc4)NC5=C(Br)C(=O)C56CCCCC6"|unknown:chembl481659	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Phillips et al (2008)	pubmed:18539454	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL951561	chembl:medium(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:548893"	uniprotkb:P13612	-	-	chembl:CHEMBL521102|unknown:"InChI=1S/C29H26ClN5O3/c30-23-24(29(25(23)36)12-2-1-3-13-29)33-22(28(37)38)16-18-8-10-20(11-9-18)35-26(19-6-4-14-31-17-19)34-21-7-5-15-32-27(21)35/h4-11,14-15,17,22,33H,1-3,12-13,16H2,(H,37,38)/t22-/m0/s1"|unknown:FQJKZZROWKIEKJ-QFIPXVFZSA-N|unknown:"OC(=O)[C@H](Cc1ccc(cc1)n2c(nc3cccnc23)c4cccnc4)NC5=C(Cl)C(=O)C56CCCCC6"|unknown:chembl521102	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Phillips et al (2008)	pubmed:18539454	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL951561	chembl:medium(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:384850"	uniprotkb:P13612	-	-	chembl:CHEMBL352778|unknown:"InChI=1S/C28H29NO8S/c1-35-23-9-6-10-24(36-2)25(23)20-13-11-19(12-14-20)17-22(26(30)31)29-27(32)28(15-16-37-18-28)38(33,34)21-7-4-3-5-8-21/h3-14,22H,15-18H2,1-2H3,(H,29,32)(H,30,31)/t22-,28?/m0/s1"|unknown:OPJBDVVJACDHPY-XYXHBKGXSA-N|unknown:"COc1cccc(OC)c1c2ccc(C[C@H](NC(=O)C3(CCOC3)S(=O)(=O)c4ccccc4)C(=O)O)cc2"|unknown:chembl352778	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Gutteridge et al (2003)	pubmed:12617914	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL823097|chembl:CHEMBL817232	chembl:low(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:384716"	uniprotkb:P13612	-	-	chembl:CHEMBL170515|unknown:"InChI=1S/C29H31BrN2O7S/c1-38-23-8-5-9-24(39-2)26(23)20-13-11-19(12-14-20)17-22(27(33)34)32-28(35)29(15-6-16-31-18-29)40(36,37)25-10-4-3-7-21(25)30/h3-5,7-14,22,31H,6,15-18H2,1-2H3,(H,32,35)(H,33,34)/t22-,29?/m0/s1"|unknown:HXCSQLRXMBOJCE-RBQQCVMASA-N|unknown:"COc1cccc(OC)c1c2ccc(C[C@H](NC(=O)C3(CCCNC3)S(=O)(=O)c4ccccc4Br)C(=O)O)cc2"|unknown:chembl170515	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Gutteridge et al (2003)	pubmed:12617914	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL823097|chembl:CHEMBL817232	chembl:low(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:383875"	uniprotkb:P13612	-	-	chembl:CHEMBL171929|unknown:"InChI=1S/C24H29NO6S/c1-3-32(29,30)24(14-6-7-15-24)23(28)25-20(22(26)27)16-17-10-12-18(13-11-17)19-8-4-5-9-21(19)31-2/h4-5,8-13,20H,3,6-7,14-16H2,1-2H3,(H,25,28)(H,26,27)/t20-/m0/s1"|unknown:HWTDZVDHOSKTML-FQEVSTJZSA-N|unknown:"CCS(=O)(=O)C1(CCCC1)C(=O)N[C@@H](Cc2ccc(cc2)c3ccccc3OC)C(=O)O"|unknown:chembl171929	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Gutteridge et al (2003)	pubmed:12617914	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL823097|chembl:CHEMBL817232	chembl:low(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:383990"	uniprotkb:P13612	-	-	chembl:CHEMBL422901|unknown:"InChI=1S/C28H28BrNO5S/c29-23-13-15-24(16-14-23)36(34,35)28(17-5-2-6-18-28)27(33)30-25(26(31)32)19-20-9-11-22(12-10-20)21-7-3-1-4-8-21/h1,3-4,7-16,25H,2,5-6,17-19H2,(H,30,33)(H,31,32)/t25-/m0/s1"|unknown:DSUVGJSTQKJVAX-VWLOTQADSA-N|unknown:"OC(=O)[C@H](Cc1ccc(cc1)c2ccccc2)NC(=O)C3(CCCCC3)S(=O)(=O)c4ccc(Br)cc4"|unknown:chembl422901	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Gutteridge et al (2003)	pubmed:12617914	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL817232	chembl:low(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:385086"	uniprotkb:P13612	-	-	chembl:CHEMBL171735|unknown:"InChI=1S/C28H29NO7S/c1-35-25-10-6-5-9-23(25)21-13-11-20(12-14-21)19-24(26(30)31)29-27(32)28(15-17-36-18-16-28)37(33,34)22-7-3-2-4-8-22/h2-14,24H,15-19H2,1H3,(H,29,32)(H,30,31)/t24-/m0/s1"|unknown:DAEIMVCXNQVMSM-DEOSSOPVSA-N|unknown:"COc1ccccc1c2ccc(C[C@H](NC(=O)C3(CCOCC3)S(=O)(=O)c4ccccc4)C(=O)O)cc2"|unknown:chembl171735	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Gutteridge et al (2003)	pubmed:12617914	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL823097|chembl:CHEMBL817232	chembl:low(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:385241"	uniprotkb:P13612	-	-	chembl:CHEMBL172569|unknown:"InChI=1S/C27H25NO5S/c29-25(30)24(19-20-13-15-22(16-14-20)21-9-3-1-4-10-21)28-26(31)27(17-7-8-18-27)34(32,33)23-11-5-2-6-12-23/h1-16,24H,17-19H2,(H,28,31)(H,29,30)/t24-/m0/s1"|unknown:HZZNMPXFJNNTDT-DEOSSOPVSA-N|unknown:"OC(=O)[C@H](Cc1ccc(cc1)c2ccccc2)NC(=O)C3(CC=CC3)S(=O)(=O)c4ccccc4"|unknown:chembl172569	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Gutteridge et al (2003)	pubmed:12617914	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL817232	chembl:low(ChEMBL given confidence)|miscore:0.40116468
